
Apolssalian = Аполсэлія, аполсэльскі, аполсэльцы
Ariorum = Арыёрум, арыёрумскі, арыёры
Cortanian = Кортэнія, кортэнскі, кортэны   (dey Cortain - Кортэн)
Dryatican = Драятыя, драятычны, драяты
Lyrion = Лірыя, лірыйскі, лірыйцы
Nordling = Нордлінг, нордлінскі, нордлінгі
Paleician = Палійцыя, палійцкі, палійцы 
Rebel Khuzait = Паўсталыя Хузаіты, паўсталахузаіцкі, паўсталыя хузаіты
Republic = Рэспубліка, рэспубліканскі, рэспубліканцы
Rhodok = Родак, родаскі, родакі 
Vagir = Вагір, вагірскі, вагіры
